id,report_type_id,company_id,"name","uuid",total_score,published_by,"published_at",published_immediately,created_by,"created_at",updated_by,"updated_at",deleted_by,"deleted_at"
209,1,13,NULL,"b28ea8e2-2fe3-e4c4-ddb9-345749346bfe",183,1,"2007-04-14 00:00:00",0,1,"2009-10-27 12:26:50",1,"2010-04-15 01:33:41",NULL,NULL
210,1,31,NULL,"69710ef5-0692-ed64-2549-379d36efc172",132,1,"2010-04-14 00:00:00",0,5,"2009-12-07 16:28:36",13,"2011-04-20 13:38:25",NULL,NULL
211,1,31,NULL,"fa56678c-0356-1a04-2d87-0379fdba05ec",128,5,"2009-04-14 00:00:00",0,5,"2009-12-07 16:28:36",1,"2010-04-15 01:33:55",NULL,NULL
212,1,31,NULL,"a2e19d9a-eea6-79f4-adf9-2ac297bd0995",126,5,"2008-04-14 00:00:00",0,5,"2009-12-07 16:28:36",1,"2010-04-15 01:33:57",NULL,NULL
213,1,31,NULL,"1c775306-ce36-80b4-9167-4fd8139e1fe7",128,5,"2007-04-14 00:00:00",0,5,"2009-12-07 16:28:36",1,"2010-04-15 01:33:59",NULL,NULL
214,1,15,NULL,"a172a59c-f137-6c84-d1ad-881f5e631648",195,1,"2010-04-14 00:00:00",0,1,"2009-10-28 09:17:38",13,"2011-04-20 13:38:25",NULL,NULL
215,1,15,NULL,"3893b428-6554-52f4-5513-15434f9b979e",194,15,"2009-04-14 00:00:00",0,1,"2009-10-28 09:17:38",1,"2010-04-15 01:34:11",NULL,NULL
216,1,15,NULL,"238d6e93-1b51-f9c4-b12e-a54dabf253de",187,1,"2008-04-14 00:00:00",0,1,"2009-10-28 09:17:38",1,"2010-04-15 01:34:13",NULL,NULL
217,1,15,NULL,"81760f68-2b74-4814-d95f-1e5000335216",175,1,"2007-04-14 00:00:00",0,1,"2009-10-28 09:17:38",1,"2010-04-15 01:34:15",NULL,NULL
218,1,85,NULL,"042e5eb7-df31-6534-4916-53108e40574d",145,1,"2010-04-14 00:00:00",0,15,"2010-02-09 15:11:16",13,"2011-04-20 13:38:25",NULL,NULL
219,1,85,NULL,"6d527765-0f1c-43b4-2d28-f922a152be10",136,15,"2009-04-14 00:00:00",0,15,"2010-02-09 15:11:16",1,"2010-04-15 01:34:31",NULL,NULL
220,1,85,NULL,"cf74d8c2-df09-fb44-b984-35aebe71f09c",132,15,"2008-04-14 00:00:00",0,15,"2010-02-09 15:11:16",1,"2010-04-15 01:34:33",NULL,NULL
221,1,9,NULL,"02229116-dfb2-44d4-3146-29ab6c31562a",203,1,"2007-04-14 00:00:00",0,1,"2009-10-14 15:46:26",1,"2010-04-15 01:34:35",NULL,NULL
222,1,79,NULL,"9a1bc52e-f4e9-3bd4-e963-41a7c82e68bb",192,13,"2010-04-14 00:00:00",0,13,"2010-01-22 16:15:09",13,"2011-04-20 13:38:25",NULL,NULL
223,1,79,NULL,"0ab7d8a5-f753-3324-1140-37e3a7b9cdb2",194,13,"2009-04-14 00:00:00",0,13,"2010-01-22 16:15:09",1,"2010-04-15 01:34:44",NULL,NULL
224,1,79,NULL,"1ba573ef-b339-fe64-7972-e2979f2b13eb",180,13,"2008-04-14 00:00:00",0,13,"2010-01-22 16:15:09",1,"2010-04-15 01:34:46",NULL,NULL
